,symbol,Date,close,Start_Qty,Trade_Qty,token_id,wallet
0,BAT,7/4/2022,0.3945,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
1,BAT,7/3/2022,0.4001,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
2,BAT,7/2/2022,0.412,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
3,BAT,7/1/2022,0.4026,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
4,BAT,6/30/2022,0.3928,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
5,BAT,6/29/2022,0.3847,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
6,BAT,6/28/2022,0.3706,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
7,BAT,6/27/2022,0.3881,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
8,BAT,6/26/2022,0.3931,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
9,BAT,6/25/2022,0.4308,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
10,BAT,6/24/2022,0.4344,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
11,BAT,6/23/2022,0.4052,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
12,BAT,6/22/2022,0.364,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
